Price,KM,HP,Automatic,CC
13500,46986,90,0,2000
13750,72937,90,0,2000
13950,41711,90,0,2000
14950,48000,90,0,2000
13750,38500,90,0,2000
12950,61000,90,0,2000
16900,94612,90,0,2000
18600,75889,90,0,2000
21500,19700,192,0,1800
12950,71138,69,0,1900
20950,31461,192,0,1800
19950,43610,192,0,1800
19600,32189,192,0,1800
21500,23000,192,0,1800
22500,34131,192,0,1800
22000,18739,192,0,1800
22750,34000,192,0,1800
17950,21716,110,0,1600
16750,25563,110,0,1600
16950,64359,110,0,1600
15950,67660,110,0,1600
16950,43905,110,1,1600
15950,56349,110,0,1600
16950,32220,110,0,1600
16250,25813,110,0,1600
15950,28450,110,0,1600
17495,34545,110,0,1600
15750,41415,110,0,1600
16950,44142,110,0,1600
17950,11090,110,0,1600
12950,9750,97,0,1400
15750,35199,97,0,1400
15950,29510,97,0,1400
14950,32692,97,0,1400
15500,41000,97,0,1400
15750,43000,97,0,1400
15950,25000,97,0,1400
14950,10000,97,0,1400
15750,25329,97,0,1400
14750,27500,97,0,1400
13950,49059,97,0,1400
16750,44068,97,0,1400
13950,46961,97,0,1400
16950,110404,90,0,2000
16950,100250,90,0,2000
19000,84000,90,0,2000
17950,79375,90,0,2000
15800,75048,97,0,1400
17950,72215,90,0,2000
21950,64982,192,0,1800
17950,62636,90,0,2000
15750,57086,97,0,1400
20500,56000,110,1,1600
21950,49866,192,0,1800
15500,49163,110,1,1600
13250,45725,110,0,1600
15250,43210,97,0,1400
15250,43000,97,0,1400
18950,39704,110,1,1600
15999,38950,110,0,1600
14950,37400,97,0,1400
16500,37177,110,0,1600
18750,36544,110,0,1600
17950,33511,110,0,1600
17950,32809,97,0,1400
16950,32181,110,0,1600
18950,30993,110,0,1600
14950,30400,97,0,1400
22250,30000,110,0,2000
15950,29719,97,0,1400
15950,29206,97,0,1400
12995,29198,97,0,1400
18950,28817,110,0,1598
15750,28227,97,0,1400
19950,28000,110,0,1600
16950,28000,110,0,1600
18750,25266,110,0,1600
18450,23489,110,0,1600
16895,22575,110,0,1600
14900,22000,97,0,1400
18950,20019,110,1,16000
17250,20000,110,0,1600
15450,17003,97,0,1400
17950,16238,110,1,1600
16650,15414,97,0,1400
17450,8537,110,0,1600
14900,7000,97,0,1400
17950,66966,90,0,2000
15950,51884,97,0,1400
21950,50005,110,0,2000
16450,48110,97,0,1400
22250,37500,90,0,2000
19950,34472,90,0,1995
15950,33329,97,0,1400
18900,31850,110,0,1600
19950,30351,90,0,1995
15950,29435,97,0,1400
15950,25948,97,0,1400
18750,24500,110,0,1600
17450,23902,97,0,1400
18990,23175,110,0,1600
16250,19200,97,0,1400
18500,18000,71,0,1400
18500,16123,110,0,1600
19450,14635,110,1,1600
16950,13748,97,0,1400
18800,11500,110,0,1600
17450,10000,97,0,1400
17950,7187,110,0,1600
32500,1,116,0,2000
31000,4000,116,0,2000
31275,1500,116,0,2000
24950,13253,116,0,2000
24950,13253,116,0,2000
22950,10000,116,0,2000
24990,6000,90,0,2000
21950,10841,90,0,2000
17900,1,110,0,1600
19250,63000,90,0,2000
22250,57313,110,0,2000
18950,57037,110,0,1600
19950,51099,90,0,2000
16350,40010,110,0,1600
18950,39115,110,0,1600
16950,36012,110,0,1600
21750,36000,110,0,1600
15950,36000,110,0,1600
16500,35000,97,0,1400
17950,33740,97,0,1400
15850,33477,110,0,1600
16250,32627,97,0,1400
15950,29797,97,0,1400
16250,29441,97,0,1400
15950,29371,110,0,1600
16500,29000,97,0,1400
16500,27821,97,0,1400
18450,27371,97,0,1400
16250,25170,110,0,1600
23000,25000,116,0,2000
19900,23000,110,0,1600
16450,22588,97,0,1400
23950,21684,192,0,1800
19950,21428,110,0,1600
18500,20629,110,0,1600
18950,20270,110,0,1600
16450,20105,97,0,1400
20500,20000,110,1,1600
24500,19988,110,0,1600
19450,18328,110,0,1600
20950,17896,110,1,1600
17200,17300,97,0,1400
19950,17038,110,0,1600
18450,13747,97,0,1400
19500,13634,110,0,1600
21750,13178,110,0,1600
16868,13157,97,0,1400
19500,13000,110,0,1600
18900,12500,110,0,1600
19750,11999,110,0,1600
19750,11754,110,1,1600
18950,11000,110,0,1600
20750,10000,110,0,1598
19600,7650,110,0,1600
19500,6500,110,0,1600
17650,6155,97,0,1400
19950,6000,110,0,1600
19950,5459,110,0,1600
20950,5278,110,1,1600
20500,5000,110,0,1600
17795,1,98,0,1400
18245,1,110,0,1600
23750,11000,110,0,1600
19500,10077,97,0,1400
18950,10000,97,0,1400
21950,9788,110,0,1600
19950,8574,110,0,1600
18950,7000,110,0,1600
19950,6250,110,0,1600
21950,5000,110,0,1600
22500,3000,110,0,1600
18500,2000,110,0,1600
18700,450,97,0,1400
21125,225,97,0,1400
21500,15,110,0,1600
17795,1,98,0,1400
18245,1,110,0,1600
6950,243000,69,0,1900
9500,180638,90,0,2000
11950,179860,90,0,2000
7750,178858,110,0,1600
11950,161000,69,0,1900
4350,158320,69,0,1800
4750,131273,69,0,1800
11750,130062,69,0,1900
13250,123425,69,0,1900
11950,118217,110,0,1600
11900,110000,69,0,1900
14750,108847,90,0,2000
9950,105699,97,0,1400
11950,98823,110,0,1600
11495,96829,110,0,1600
11250,96518,97,0,1400
10500,92204,110,0,1600
10450,91456,69,0,1900
12950,89968,69,0,1900
11500,89757,110,0,1600
12500,85389,110,0,1600
10950,85017,97,0,1400
11450,84312,110,0,1600
11950,82743,110,0,1600
13250,81106,69,0,1900
